address,city,state,zip,asking_price,beds,baths,sqft,hoa_monthly,property_type,mls_id,listing_url,market_area,source_zips
Coral Gables Dr,Indian Lake Estates,FL,33855,49000,,,,,8,O6346588,https://www.redfin.com/FL/Indian-Lake-Estates/Coral-Gables-Dr-33855/home/46121001,poinciana,33898
7336 International Cir,Lake Wales,FL,33898,49900,,,,125,8,S5149250,https://www.redfin.com/FL/Lake-Wales/7336-International-Cir-33898/home/46160158,poinciana,33898
1551 Immokalee St,Intercession City,FL,33848,49999,,,,,8,O6428989,https://www.redfin.com/FL/Intercession-City/1551-Immokalee-St-33848/home/54699223,poinciana,33896
Cedar Cir,Lake Wales,FL,33898,50000,,,,,8,K4903351,https://www.redfin.com/FL/Lake-Wales/Cedar-Cir-33898/home/46111789,poinciana,33898
Cedar Cir,Lake Wales,FL,33898,50000,,,,,8,K4903345,https://www.redfin.com/FL/Lake-Wales/Cedar-Cir-33898/home/46111770,poinciana,33898
483 Britten Dr,Poinciana,FL,34758,50000,,,,20,8,O6354756,https://www.redfin.com/FL/Poinciana/483-Britten-Dr-34758/home/54711587,poinciana,34758
1617 Tench Ct,Poinciana,FL,34759,50000,,,,30,8,S5155188,https://www.redfin.com/FL/Poinciana/1617-Tench-Ct-34759/home/46101003,poinciana,34759
504 Sarasota Ln,Poinciana,FL,34759,50000,,,,35,8,R4911634,https://www.redfin.com/FL/Poinciana/504-Sarasota-Ln-34759/home/46254781,poinciana,34759
118 Jasmine Cir,Poinciana,FL,34759,50000,,,,35,8,325765,https://www.redfin.com/FL/Poinciana/118-Jasmine-Cir-34759/home/46149471,poinciana,34759
4232 Chamabers St,Lake Wales,FL,33898,52999,,,,,8,A4698721,https://www.redfin.com/FL/Lake-Wales/4232-Chambers-St-33898/home/202548244,poinciana,33898
121 Central Ave,Davenport,FL,33896,54900,,,,,8,TB8520469,https://www.redfin.com/FL/Davenport/121-Central-Ave-33896/home/162484661,poinciana,33896
1205 Waverly Pl,Poinciana,FL,34759,54900,,,,34,8,O6418496,https://www.redfin.com/FL/Poinciana/1205-Waverly-Pl-34759/home/46256130,poinciana,34759
13 Saddlebag Trl S,Lake Wales,FL,33898,55000,1,1,608,244,10,K4903392,https://www.redfin.com/FL/Lake-Wales/13-Saddlebag-Trl-33898/home/46097975,poinciana,33898
20 Silver Doctor Ln,Lake Wales,FL,33898,55000,,,,244,8,K4903516,https://www.redfin.com/FL/Lake-Wales/20-Doctors-Ln-33853/home/46098223,poinciana,33898
178&180 Desoto (red Grange) Blvd,Indian Lake Estates,FL,33855,55000,,,,66,8,TB8490918,https://www.redfin.com/FL/Indian-Lake-Estates/178-180-Red-Grange-Blvd-33855/home/201024338,poinciana,33898
546 Kilimanjaro Dr,Poinciana,FL,34758,55000,,,,30,8,O6392373,https://www.redfin.com/FL/Poinciana/546-Kilimanjaro-Dr-34758/home/144659781,poinciana,34758
121 Warmouth Ln,Poinciana,FL,34759,55000,,,,35,8,R4911630,https://www.redfin.com/FL/Poinciana/121-Warmouth-Ln-34759/home/46101824,poinciana,34759
0 Robin Ln,Poinciana,FL,34759,55000,,,,25,8,O6416519,https://www.redfin.com/FL/Poinciana/Robin-Ln-34759/home/46218199,poinciana,34759
1457 Kissimmee Way,Poinciana,FL,34759,55000,,,,35,8,R4911408,https://www.redfin.com/FL/Poinciana/1457-Kissimmee-Way-34759/home/46255540,poinciana,34759
